Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-AHam_030.clmp.fp2_r1_screen	117418.0	12168.0	9881.0	2422.0	3498.0	1177.0	703.0	487.0	13.0	0.0	448775.0	3292253.0
Lle-AHam_030.clmp.fp2_r2_screen	120809.0	12628.0	10152.0	2317.0	3543.0	1171.0	637.0	393.0	13.0	0.0	451101.0	3286031.0
Lle-AHam_031.clmp.fp2_r1_screen	181171.0	15084.0	14713.0	3329.0	4182.0	1788.0	1047.0	575.0	20.0	0.0	686371.0	4415750.0
Lle-AHam_031.clmp.fp2_r2_screen	186307.0	14950.0	14988.0	3322.0	4126.0	1851.0	1046.0	608.0	24.0	0.0	691706.0	4405102.0
Lle-AHam_032.clmp.fp2_r1_screen	121636.0	10393.0	10533.0	2361.0	3080.0	1251.0	781.0	410.0	10.0	1.0	465347.0	3678497.0
Lle-AHam_032.clmp.fp2_r2_screen	123564.0	10519.0	10484.0	2390.0	3082.0	1248.0	698.0	439.0	10.0	0.0	467663.0	3674203.0
Lle-CNas_001.clmp.fp2_r1_screen	31341.0	3931.0	2691.0	1573.0	511.0	438.0	264.0	219.0	18.0	1.0	163639.0	2104920.0
Lle-CNas_001.clmp.fp2_r2_screen	32149.0	4037.0	2568.0	1567.0	548.0	440.0	252.0	184.0	3.0	0.0	165650.0	2102148.0
Lle-CNas_002.clmp.fp2_r1_screen	25157.0	2699.0	2033.0	1153.0	612.0	365.0	215.0	152.0	7.0	0.0	135307.0	1593851.0
Lle-CNas_002.clmp.fp2_r2_screen	25510.0	2760.0	2030.0	1149.0	640.0	355.0	212.0	165.0	7.0	0.0	135929.0	1592794.0
Lle-CNas_003.clmp.fp2_r1_screen	29798.0	3297.0	2626.0	1390.0	605.0	414.0	268.0	156.0	5.0	0.0	151366.0	2021071.0
Lle-CNas_003.clmp.fp2_r2_screen	30867.0	3333.0	2572.0	1380.0	590.0	465.0	290.0	180.0	4.0	0.0	153339.0	2017976.0
Lle-CNas_004.clmp.fp2_r1_screen	36933.0	3967.0	3292.0	1837.0	768.0	569.0	330.0	255.0	3.0	1.0	185152.0	2362734.0
Lle-CNas_004.clmp.fp2_r2_screen	37498.0	4051.0	2999.0	1741.0	799.0	560.0	293.0	281.0	9.0	0.0	186693.0	2360917.0
Lle-CNas_005.clmp.fp2_r1_screen	17696.0	2021.0	1503.0	914.0	582.0	259.0	147.0	123.0	3.0	0.0	90096.0	1294647.0
Lle-CNas_005.clmp.fp2_r2_screen	18074.0	2079.0	1427.0	869.0	580.0	275.0	167.0	134.0	3.0	0.0	90581.0	1293802.0
Lle-CNas_006.clmp.fp2_r1_screen	73808.0	8130.0	6426.0	3791.0	1469.0	1009.0	616.0	542.0	30.0	0.0	431023.0	4821820.0
Lle-CNas_006.clmp.fp2_r2_screen	76277.0	7853.0	6389.0	3774.0	1521.0	1094.0	538.0	522.0	16.0	0.0	434743.0	4815937.0
Lle-CNas_007.clmp.fp2_r1_screen	24765.0	2656.0	1993.0	1175.0	618.0	349.0	207.0	176.0	7.0	1.0	123270.0	1746941.0
Lle-CNas_007.clmp.fp2_r2_screen	25056.0	2752.0	1970.0	1231.0	602.0	335.0	228.0	154.0	11.0	0.0	124970.0	1744849.0
Lle-CNas_008.clmp.fp2_r1_screen	29803.0	3231.0	2466.0	1503.0	744.0	463.0	287.0	210.0	18.0	0.0	156409.0	1961035.0
Lle-CNas_008.clmp.fp2_r2_screen	30138.0	3217.0	2541.0	1509.0	770.0	430.0	267.0	203.0	9.0	0.0	157990.0	1959095.0
Lle-CNas_009.clmp.fp2_r1_screen	31437.0	3657.0	2694.0	1704.0	750.0	477.0	282.0	269.0	6.0	0.0	172532.0	2349837.0
Lle-CNas_009.clmp.fp2_r2_screen	32265.0	3714.0	2769.0	1634.0	784.0	416.0	285.0	292.0	10.0	0.0	175229.0	2346247.0
Lle-CNas_010.clmp.fp2_r1_screen	25946.0	3345.0	2151.0	1284.0	633.0	375.0	209.0	197.0	12.0	0.0	139273.0	1709573.0
Lle-CNas_010.clmp.fp2_r2_screen	26503.0	3400.0	2059.0	1226.0	572.0	393.0	199.0	168.0	5.0	0.0	140594.0	1707879.0
Lle-CNas_011.clmp.fp2_r1_screen	24854.0	2679.0	2093.0	1180.0	542.0	360.0	207.0	140.0	3.0	0.0	136142.0	1615466.0
Lle-CNas_011.clmp.fp2_r2_screen	25528.0	2711.0	2153.0	1172.0	534.0	314.0	219.0	131.0	7.0	0.0	136323.0	1614574.0
Lle-CNas_012.clmp.fp2_r1_screen	38775.0	4743.0	3460.0	2032.0	846.0	600.0	355.0	242.0	26.0	0.0	214862.0	2728889.0
Lle-CNas_012.clmp.fp2_r2_screen	39587.0	4731.0	3386.0	1987.0	818.0	549.0	344.0	256.0	7.0	0.0	215774.0	2727391.0
Lle-CNas_013.clmp.fp2_r1_screen	22779.0	2489.0	1912.0	1114.0	433.0	302.0	203.0	135.0	8.0	0.0	113178.0	1600137.0
Lle-CNas_013.clmp.fp2_r2_screen	23313.0	2558.0	1969.0	1116.0	474.0	327.0	178.0	130.0	4.0	0.0	113878.0	1598743.0
Lle-CNas_014.clmp.fp2_r1_screen	39516.0	4330.0	3447.0	1958.0	778.0	574.0	393.0	253.0	7.0	0.0	198887.0	2781884.0
Lle-CNas_014.clmp.fp2_r2_screen	40639.0	4269.0	3502.0	1910.0	772.0	550.0	346.0	262.0	12.0	0.0	201519.0	2778246.0
Lle-CNas_015.clmp.fp2_r1_screen	29448.0	3143.0	2539.0	1358.0	554.0	361.0	249.0	192.0	19.0	0.0	144581.0	1888423.0
Lle-CNas_015.clmp.fp2_r2_screen	29692.0	3150.0	2608.0	1336.0	570.0	413.0	259.0	184.0	4.0	0.0	146299.0	1886352.0
Lle-CNas_016.clmp.fp2_r1_screen	39521.0	4664.0	3320.0	1967.0	1081.0	540.0	351.0	263.0	4.0	0.0	219599.0	2599685.0
Lle-CNas_016.clmp.fp2_r2_screen	39663.0	4639.0	3339.0	1849.0	1025.0	530.0	339.0	267.0	7.0	0.0	220800.0	2598537.0
